"Booking_ID","number.of.adults","number.of.children","number.of.weekend.nights","number.of.week.nights","type.of.meal","car.parking.space","room.type","lead.time","market.segment.type","repeated","P.C","P.not.C","average.price","special.requests","date.of.reservation","booking.status"
"BID19169","2","0","1","0","Meal Plan 1","0","Room_Type 1","0","Online","0","0","0","115","1","43016","Not_Canceled"
"BID26830","2","0","1","4","Meal Plan 1","0","Room_Type 1","11","Online","0","0","0","90","2","8/17/2017","Canceled"
"BID00278","1","0","2","1","Meal Plan 1","0","Room_Type 1","33","Online","0","0","0","82.9","2","43223","Not_Canceled"
"BID22091","2","0","0","1","Meal Plan 2","0","Room_Type 1","55","Offline","0","0","0","104","0","43255","Not_Canceled"
"BID17706","2","1","0","2","Meal Plan 1","0","Room_Type 1","138","Online","0","0","0","139.5","1","43351","Not_Canceled"
"BID32402","3","0","0","3","Meal Plan 1","0","Room_Type 4","160","Online","0","0","0","137.7","0","7/14/2018","Canceled"
"BID22733","1","0","1","1","Meal Plan 1","0","Room_Type 1","3","Online","1","0","1","89.5","1","12/19/2018","Not_Canceled"
"BID35379","2","0","0","3","Meal Plan 1","0","Room_Type 1","107","Offline","0","0","0","58","0","3/17/2018","Not_Canceled"
"BID18684","1","0","1","1","Meal Plan 1","0","Room_Type 4","17","Online","0","0","0","114.73","1","43443","Not_Canceled"
"BID15576","2","0","0","3","Meal Plan 1","0","Room_Type 1","18","Online","0","0","0","12","2","42775","Not_Canceled"
"BID17156","3","0","2","1","Meal Plan 1","0","Room_Type 1","221","Offline","0","0","0","90","0","10/17/2017","Not_Canceled"
"BID34201","2","1","2","5","Meal Plan 2","0","Room_Type 1","184","Online","0","0","0","173.25","1","43139","Canceled"
"BID03131","2","0","2","1","Meal Plan 1","0","Room_Type 1","48","Online","0","0","0","92.83","2","5/22/2018","Not_Canceled"
"BID32999","2","0","0","2","Meal Plan 1","0","Room_Type 1","1","Corporate","0","0","0","90","1","43291","Not_Canceled"
"BID08817","2","0","2","1","Meal Plan 2","0","Room_Type 1","122","Offline","0","0","0","107","1","3/27/2018","Not_Canceled"
"BID33938","2","0","0","1","Meal Plan 1","0","Room_Type 1","0","Corporate","0","0","0","73","1","11/30/2018","Not_Canceled"
"BID35647","2","1","1","2","Meal Plan 1","0","Room_Type 1","4","Online","0","0","0","128","1","3/21/2018","Not_Canceled"
"BID10396","2","2","2","9","Meal Plan 1","0","Room_Type 2","252","Online","0","0","0","148.58","2","12/28/2018","Canceled"
